935.2813 1640.5713
938.41 1372.47
944.66 1030.66
947.78 958.87
954.03 906.47
967.28 868.6
970.41 833.08
976.66 818.12
982.91 771.69
999.28 710.37
1002.41 668.19
1005.53 631.83
1008.66 590.39
1011.78 558.91
1014.91 548.23
1031.28 512.82
1034.41 501.56
1043.78 476.35
1050.03 450.17
1063.28 448.12
1066.41 444.34
1078.91 445.49
1085.16 442.61
1104.66 451.26
1110.91 451.02
1114.03 435.63
1130.41 436.91
1133.53 427.84
1136.66 425.35
1146.03 422.46
1149.16 415.8
1191.28 409.23
1194.41 412.1
1258.41 385.72
1261.53 383.85
1276.41 371.65
1279.53 371.15
1282.66 382.09
1285.78 382.27
1292.03 378.5
1305.28 379.05
1311.53 370.36
1314.66 361.43
1343.53 367.61
1346.66 362.75
1369.28 376.09
1372.41 372.44
1381.78 375.42
1391.16 383.45
1401.28 375.59
1404.41 383.91
1413.78 372.86
1420.03 380.97
1436.41 391.48
1442.66 382.7
1445.78 385.15
1452.03 392.54
1471.53 391.81
1474.66 395.32
1484.03 395.64
1487.16 391.22
1497.28 408.69
1500.41 411.09
1503.53 414.46
1509.78 416.27
1512.91 412.94
1516.03 414.04
1519.16 417.39
1613.59 442.3
1629.16 428.19
1648.66 431.58
1658.03 425
1674.41 431
1677.53 439.81
1683.78 444.88
1690.03 440.87
1706.41 444.8
1715.78 436.86
1722.03 448.23
1725.16 454.41
1741.53 454.53
1747.78 449.75
1770.41 449.82
1773.53 442.42
1779.78 447.52
1789.16 451.77
1802.41 448.67
1811.78 448.96
1818.03 453.14
1837.53 433.84
1846.91 431.41
1853.16 448.53
1863.28 437.27
1866.41 443.15
1872.66 441.71
1882.03 426.63
1895.28 436.36
1904.66 437.16
1917.16 436.07
1927.28 440.55
1933.53 456.49
1936.66 468.92
1939.78 478.51
1946.03 486.87
1962.91 491.85
1969.16 506.66
1979.28 515.74  
1982.41 522.44
1985.53 545.89
1988.66 572.71
1991.78 593.01
1994.91 596.48
1998.03 617.26
2001.16 627.88
2011.28 625.2
2014.41 621.97
2023.78 613.29
2026.91 616
2030.03 627.11
2033.16 681.3
2043.28 736.93
2046.41 701.47
2049.53 707.36
2052.66 721.24
2055.78 767.59
2058.91 861.37
2062.03 992
2065.16 1139.52
2075.28 1851.59
2078.41 2051.36
2081.53 2077.85
2084.66 2093.74
2087.78 2296.07
2090.91 2534.47
2094.03 2770.64
2097.16 3064.4
2107.28 5175.23
2110.41 5652.19
2113.53 6739.05
2116.66 8290.22
2119.78 10101.32
2122.91 12624.68
2126.03 15903.72
2129.16 20134.28
2139.28 46046.35
2142.41 57535.3
2145.53 73687.83
2148.66 93569.19
2151.78 105608.41
                      













































